# trackType=Official Forecast Track,baseTime=2023-10-23T03:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DisturbanceId=2324-01F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CycloneName=Lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MathType of Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Time->(Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius)),
# Column Headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
# Start of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-23T00:00:00Z,-5.376562209,201.5984022,4,3,964,1006,180,100,NaN,80,110,3,15,5,5,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T03:00:00Z,-5.949007778,201.1040174,4,3,964,1006,180,100,NaN,80,110,3,15,5,5,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T09:00:00Z,-6.78165588,200.661673,4,3,959,1006,NaN,NaN,NaN,85,120,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T15:00:00Z,-7.432162209,199.9851465,4,4,955,1006,NaN,NaN,NaN,90,125,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T21:00:00Z,-8.160729297,199.5688224,4,4,950,1006,NaN,NaN,NaN,95,135,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T03:00:00Z,-9.123478664,199.1264781,4,4,945,1006,NaN,NaN,NaN,100,140,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T09:00:00Z,-10.11224828,198.6841338,4,4,946,1006,NaN,NaN,NaN,100,140,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T15:00:00Z,-10.84081537,198.3198503,4,4,951,1006,NaN,NaN,NaN,95,135,NaN,108,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T21:00:00Z,-11.4913217,198.0336275,4,4,951,1006,NaN,NaN,NaN,95,135,NaN,124,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T03:00:00Z,-12.21988879,197.6173034,4,3,961,1006,NaN,NaN,NaN,85,125,NaN,140,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T09:00:00Z,-12.94845588,197.1229186,4,3,965,1006,NaN,NaN,NaN,80,110,NaN,164,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T15:00:00Z,-13.70304322,196.6805743,4,3,969,1006,NaN,NaN,NaN,75,105,NaN,188,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T21:00:00Z,-14.35354955,196.0821085,4,3,970,1006,NaN,NaN,NaN,70,100,NaN,211,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
